cnpj_basico,identificador_matriz_filial,nome_fantasia,tipo_logradouro,logradouro,numero,bairro,cep,uf,municipio,cnae_fiscal_principal,cnae_fiscal_secundaria
36761208,2,,SITIO,SANTA ROSA,S/N,ZONA RURAL,15170000,SP,7169,0113000,0119999
37755324,2,,FAZENDA,PALMEIRAS,SN,DOIS CORREGOS,14968899,SP,6771,0139306,
37578587,2,,ESTRADA,ESTRADA MUNICIPAL PAREDAO VERMELHO KM 35 /SITIO FELIPADA,S/N,PAREDAO VERMELHO,13433899,SP,6875,0113000,"0151201,0151202"
39339370,2,,RUA,JOSE MANOEL DE OLIVEIRA,713,CENTRO (CAUCAIA DO ALTO),06727187,SP,6361,4110700,6810201
38117171,2,,FAZENDA,PANORAMA,S/N,ZONA RURAL,13840970,SP,6715,0131800,"0111302,0111303,0113000,0115600,0133408"
37181494,2,,FAZENDA,MINERVA,S/N,AGUA LIMPA,16309899,SP,6847,0151203,0151201
39818875,2,,RODOVIA,FELICIANO SALES CUNHA,KM 08,LIMOEIRO,15355000,SP,6479,0139306,
37331762,2,,SITIO,TERRA FERTIL,SN,GARCIA,18530000,SP,7191,0113000,"0115600,0111302"
36693855,2,,SITIO,SAO SEBASTIAO,SN,SAO JOAO,14968899,SP,6771,0133404,
37381902,2,RENAPSI,AVENIDA,DOM PEDRO II,1316,JARDIM,09080000,SP,7057,9430800,"9493600,9499500"
37039937,2,"MOEMA SIGNATURE BY YOU, INC",RUA,GAIVOTA,501,MOEMA,04522031,SP,7107,4110700,
40139466,2,,RUA,SAMUEL MORSE,120,CIDADE MONCOES,04576060,SP,7107,8020001,"6201501,6202300,6203100,7020400"
37871447,2,POPULAR PET,AVENIDA,JOSE IGNACIO BICUDO,230,JARDIM SAO LEOPOLDO,12228180,SP,7099,4789004,"4623101,4623109,4644302,4771704,7500100,9609208"
37064280,2,,RODOVIA,MARECHAL RONDON,221,GUANABARA,16026005,SP,6155,0151202,"0111302,0119999"
39375168,2,,RUA,COMENDADOR TORLOGO DAUNTRE,74,CAMBUI,13025270,SP,6291,4110700,"4120400,6810201,6810202"
37395399,2,,AVENIDA,BARAO DE ITAPURA,777,BOTAFOGO,13020431,SP,6291,6424703,
41097867,2,METROCASA DOM BOSCO,RUA,BAIXADA SANTISTA,586,ITAQUERA,08295360,SP,7107,4110700,
37594201,2,ESQUINA JARDYN,ALAMEDA,FRANCA,1166,JARDIM PAULISTA,01422001,SP,7107,4110700,
36936977,2,,SITIO,SAO CAETANO,SN,GOITCHORO,17680000,SP,6485,0113000,
38483286,2,,RUA,CAPITAO SIQUEIRA BARBOSA,156,VILA DOM PEDRO II,02241030,SP,7107,4110700,
38083699,2,,FAZENDA,MATO DENTRO - ESTR MUNCIPAL DA VARGEM GRANDE,S/N,MATO DENTRO,12589899,SP,6987,0151201,
37667467,2,COL 33 - SOUL DIADEMA (DIADEMA 005) - CONT. DE CUSTOS,RUA,ANNITA,225,CANHEMA,09941640,SP,6377,4110700,"4120400,6810201,6810203"
38203429,2,BLESS RSF IPIRANGA,RUA,DONA LEOPOLDINA,182,IPIRANGA,04278040,SP,7107,4110700,
39467292,2,INSTITUTO GEOGRAFICO E CARTOGRAFICO - IGC,AVENIDA,VITAL BRASIL,S/N,BUTANTA,05503001,SP,7107,8411600,
41211694,2,,SITIO,SAO FRANCISCO DE ASSIS I,SN,FAZENDA BARRA GRANDE,15145000,SP,6709,0151201,"0131800,0152103,0152102,0151203,0111302"
41266183,2,,ESTANCIA,HARAS HLR TRES IRMAOS,S/N,AFONSO XIII,17626899,SP,7201,0151201,"0152102,0111302,0116401,0119999"
39622406,2,,PRACA,GEORGES CROS,1,JARDIM REAL,07402855,SP,6177,4687702,"3831901,3831999,3832700,3839499,4687701,4687703,4930201,4930202,4930203,6399200"
38470411,2,,AVENIDA,JOAO XXIII,165,SOCORRO,08780830,SP,6713,4689301,4679604
40001092,2,ARA FARIA LIMA,RUA,BIANCHI BERTOLDI,118,PINHEIROS,05422070,SP,7107,4110700,
40204252,2,,SITIO,"NOSSA SENHORA APARECIDA, LOTE 141",S/N,ZONA RURAL,14850000,SP,6919,0119999,"0113000,0133402,0111302"
40681263,2,,SITIO,SANTO ANTONIO III,S/N,RURAL,15190000,SP,6753,0113000,
40681263,2,,SITIO,SANTO ANTONIO I,S/N,RURAL,15190000,SP,6753,0113000,
39678632,2,,RODOVIA,CARLOS TONANI KM 28 (FAZENDA SANTA RITA),S/N,ZONA RURAL,14897899,SP,6587,0113000,"0115600,0116401,0161003"
40768385,2,FAZENDA PONTE BELA,FAZENDA,ESTRADA PONTA NOVA KM 8,S/N,ZONA RURAL,19470000,SP,6927,0162899,"0111302,0111399,0113000,0115600,0119906,0151201,0161003,4623101,6810202"
40012751,2,,SITIO,BOA ESPERANCA I,S/N,BOA VISTA,17890000,SP,6621,0116401,"0115600,0119999,0113000"
37381902,2,RENAPSI,RUA,ALTAIR,643,VILA CELSO MOUAD,15810005,SP,6323,9430800,"9493600,9499500"
37381902,2,RENAPSI,RUA,AUGUSTO MARQUES,1747,CENTRO,14400480,SP,6425,9430800,"9493600,9499500"
39017306,2,,RUA,FRANCISCO FOGA,980,DISTRITO INDUSTRIAL BENEDITO STORANI,13288166,SP,7237,5620101,"5611201,5611203,5620102"
40708909,2,EDIFICIO AROBA 22 BRUNO RUGGIERO,AVENIDA,BRUNO RUGGIERO FILHO,310,PARQUE SANTA FELICIA JARDIM,13562420,SP,7079,4110700,
40720488,2,,ALAMEDA,JAU,1061,JARDIM PAULISTA,01420003,SP,7107,5620101,"5611201,5611203,5620102,5620103,7820500,8230001,8299799"
37377755,2,AGITT MIX,VIA,ANHANGUERA,S/N,JARDIM JARAGUA,05275000,SP,7107,4639701,"4643502,4647802,4649499,4723700,4757100,4759899,4761001,4763601,4781400,4783101"
41153189,2,,ESTRADA MUNICIPAL,AP 06,S/N,BARRA GRANDE,18320000,SP,6153,0220904,0210103
41080021,2,,CHACARA,DO LIMAO,SN,GEADA,13480970,SP,6639,0113000,
38205982,2,,SITIO,SAO LUIZ,S/N,CORREGO DOS PINTOS,16309899,SP,6847,0113000,
37650676,2,,FAZENDA,SAO MARCOS,S/N,RURAL,17370970,SP,7041,0134200,
37795338,2,,FAZENDA,FAZENDA SAO PEDRO,SN,SAO LUIZ,16450000,SP,6441,0116401,
37420264,2,,SITIO,SANTA RITA,SN,ESTR. C.MOTA A USINA N AMERICA,19886899,SP,6301,0115600,0111302
39907859,2,RED8 EXAMES E VACINACAO,AVENIDA,DR EDUARDO COTCHING,804,VILA FORMOSA,03356000,SP,7107,8640202,
41080411,2,MARSELHA IV,ESTRADA,DOS MENDES,351,TABOAO,18135140,SP,7113,4110700,
37448664,2,,FAZENDA,DA ROCHA,S/N,ZONA RURAL,13644899,SP,6887,7020400,
